Sample,Unique_CDR3_Count
matched_SRR18719882.dedup,14442
matched_SRR18719822.dedup,15187
matched_SRR18719743.dedup,9507
matched_SRR18720097.dedup,9187
matched_SRR18720089.dedup,8332
matched_SRR18719432.dedup,11347
matched_SRR18719431.dedup,15408
matched_SRR18719588.dedup,12339
matched_SRR18720023.dedup,14999
matched_SRR18719926.dedup,14283
matched_SRR18720067.dedup,12968
matched_SRR18720085.dedup,12063
matched_SRR18719702.dedup,11786
matched_SRR18719909.dedup,12605
matched_SRR18719548.dedup,11685
matched_SRR18720205.dedup,11882
matched_SRR18719542.dedup,15134
matched_SRR18720028.dedup,11043
matched_SRR18719387.dedup,17122
matched_SRR18719820.dedup,9982
matched_SRR18719770.dedup,10995
matched_SRR18720027.dedup,13838
matched_SRR18720343.dedup,12431
matched_SRR18720274.dedup,11767
matched_SRR18720150.dedup,13371
matched_SRR18719921.dedup,11588
matched_SRR18719440.dedup,18804
matched_SRR18719907.dedup,10295
matched_SRR18720247.dedup,13200
matched_SRR18719879.dedup,8574
matched_SRR18719553.dedup,15845
matched_SRR18720184.dedup,11705
matched_SRR18719840.dedup,11262
matched_SRR18719843.dedup,13678
matched_SRR18719493.dedup,11761
matched_SRR18719870.dedup,11135
matched_SRR18719510.dedup,6728
matched_SRR18719417.dedup,15014
matched_SRR18719889.dedup,10902
matched_SRR18720090.dedup,10943
matched_SRR18720102.dedup,11342
matched_SRR18719571.dedup,13524
matched_SRR18719550.dedup,12476
matched_SRR18719555.dedup,16834
matched_SRR18719760.dedup,9315
matched_SRR18719512.dedup,9663
matched_SRR18719477.dedup,14005
matched_SRR18719443.dedup,12549
matched_SRR18719650.dedup,12052
matched_SRR18719855.dedup,14236
matched_SRR18719796.dedup,10782
matched_SRR18719529.dedup,13910
matched_SRR18719937.dedup,11246
matched_SRR18720096.dedup,13300
matched_SRR18720282.dedup,11580
matched_SRR18719557.dedup,6972
matched_SRR18720228.dedup,10687
matched_SRR18719846.dedup,10782
matched_SRR18719943.dedup,14343
matched_SRR18719772.dedup,7478
matched_SRR18720019.dedup,9493
matched_SRR18720300.dedup,17295
matched_SRR18719942.dedup,11998
matched_SRR18719866.dedup,12623
matched_SRR18720275.dedup,9791
matched_SRR18719420.dedup,13762
matched_SRR18719839.dedup,15168
matched_SRR18720241.dedup,9652
matched_SRR18720203.dedup,12788
matched_SRR18719672.dedup,14488
matched_SRR18720357.dedup,11316
matched_SRR18720305.dedup,14038
matched_SRR18720064.dedup,13303
matched_SRR18720320.dedup,13148
matched_SRR18720387.dedup,13501
matched_SRR18719606.dedup,12693
matched_SRR18720358.dedup,11595
matched_SRR18719644.dedup,15303
matched_SRR18719730.dedup,10457
matched_SRR18719828.dedup,14729
matched_SRR18719699.dedup,9811
matched_SRR18720176.dedup,12270
matched_SRR18720283.dedup,10752
matched_SRR18719570.dedup,8014
matched_SRR18720138.dedup,12243
matched_SRR18719498.dedup,14089
matched_SRR18719970.dedup,12607
matched_SRR18720031.dedup,11663
matched_SRR18719476.dedup,10450
matched_SRR18719836.dedup,13547
matched_SRR18719824.dedup,13936
matched_SRR18719460.dedup,14538
matched_SRR18719865.dedup,11102
matched_SRR18719645.dedup,13743
matched_SRR18720351.dedup,11252
matched_SRR18720057.dedup,14570
matched_SRR18720217.dedup,11528
matched_SRR18720163.dedup,15427
matched_SRR18720162.dedup,9711
matched_SRR18719467.dedup,14212
matched_SRR18720183.dedup,10429
matched_SRR18719636.dedup,10392
matched_SRR18720296.dedup,12421
matched_SRR18720193.dedup,11066
matched_SRR18719851.dedup,13119
matched_SRR18719674.dedup,12736
matched_SRR18720265.dedup,14698
matched_SRR18720025.dedup,10915
matched_SRR18720390.dedup,9330
matched_SRR18720308.dedup,15844
matched_SRR18719481.dedup,15256
matched_SRR18720159.dedup,12365
matched_SRR18719725.dedup,21245
matched_SRR18719515.dedup,13106
matched_SRR18720364.dedup,14042
matched_SRR18720167.dedup,11403
matched_SRR18719891.dedup,12057
matched_SRR18719944.dedup,11854
matched_SRR18719960.dedup,14368
matched_SRR18719713.dedup,12821
matched_SRR18720171.dedup,14277
matched_SRR18720127.dedup,13927
matched_SRR18720012.dedup,14547
matched_SRR18719395.dedup,12216
matched_SRR18719682.dedup,13279
matched_SRR18719886.dedup,14742
matched_SRR18720198.dedup,10433
matched_SRR18719739.dedup,17229
