Sample,Unique_CDR3_Count
SRR18510157.unmapped.longest_only,1488
SRR18510640.unmapped.longest_only,1597
SRR18511080.unmapped.longest_only,1236
SRR18511370.unmapped.longest_only,1196
SRR18511050.unmapped.longest_only,1029
SRR18511027.unmapped.longest_only,1031
SRR18510114.unmapped.longest_only,1295
SRR18510242.unmapped.longest_only,1747
SRR18510525.unmapped.longest_only,1833
SRR18511101.unmapped.longest_only,1220
SRR18510561.unmapped.longest_only,1412
SRR18511282.unmapped.longest_only,1027
SRR18509969.unmapped.longest_only,1584
SRR18511407.unmapped.longest_only,1828
SRR18510776.unmapped.longest_only,3064
SRR18510022.unmapped.longest_only,1723
SRR18509427.unmapped.longest_only,1265
SRR18510350.unmapped.longest_only,636
SRR18509723.unmapped.longest_only,2057
SRR18510917.unmapped.longest_only,1740
SRR18509977.unmapped.longest_only,1149
SRR18511175.unmapped.longest_only,908
SRR18511138.unmapped.longest_only,900
SRR18510507.unmapped.longest_only,1589
SRR18510954.unmapped.longest_only,991
SRR18511462.unmapped.longest_only,933
SRR18511288.unmapped.longest_only,1554
SRR18510342.unmapped.longest_only,1015
SRR18511305.unmapped.longest_only,2033
SRR18511078.unmapped.longest_only,1453
SRR18509971.unmapped.longest_only,945
SRR18509893.unmapped.longest_only,9105
SRR18510692.unmapped.longest_only,1035
SRR18509913.unmapped.longest_only,18546
SRR18510417.unmapped.longest_only,1264
SRR18509336.unmapped.longest_only,1002
SRR18510411.unmapped.longest_only,1125
SRR18509552.unmapped.longest_only,1176
SRR18509566.unmapped.longest_only,1049
SRR18509278.unmapped.longest_only,1229
SRR18510914.unmapped.longest_only,2243
SRR18510850.unmapped.longest_only,7926
SRR18509389.unmapped.longest_only,713
SRR18509898.unmapped.longest_only,1982
SRR18509753.unmapped.longest_only,1312
SRR18511299.unmapped.longest_only,998
SRR18509833.unmapped.longest_only,1183
SRR18511286.unmapped.longest_only,1375
SRR18509826.unmapped.longest_only,3814
SRR18510538.unmapped.longest_only,1530
SRR18510203.unmapped.longest_only,1054
SRR18510537.unmapped.longest_only,988
SRR18510514.unmapped.longest_only,15472
SRR18509523.unmapped.longest_only,4005
SRR18510228.unmapped.longest_only,2875
SRR18511484.unmapped.longest_only,1812
SRR18509029.unmapped.longest_only,1279
SRR18509423.unmapped.longest_only,1053
SRR18509717.unmapped.longest_only,1731
SRR18509901.unmapped.longest_only,2020
SRR18511051.unmapped.longest_only,1199
SRR18511202.unmapped.longest_only,1799
SRR18511082.unmapped.longest_only,1332
SRR18509093.unmapped.longest_only,1446
SRR18511387.unmapped.longest_only,967
SRR18509854.unmapped.longest_only,1258
SRR18511356.unmapped.longest_only,1301
SRR18511130.unmapped.longest_only,1608
SRR18509453.unmapped.longest_only,902
SRR18509257.unmapped.longest_only,2201
SRR18511417.unmapped.longest_only,1194
SRR18510138.unmapped.longest_only,1362
SRR18509666.unmapped.longest_only,1545
SRR18511171.unmapped.longest_only,2915
SRR18509794.unmapped.longest_only,1040
SRR18511368.unmapped.longest_only,1611
SRR18510667.unmapped.longest_only,937
SRR18510195.unmapped.longest_only,1734
SRR18511019.unmapped.longest_only,2211
SRR18509532.unmapped.longest_only,2863
SRR18511022.unmapped.longest_only,2069
SRR18510506.unmapped.longest_only,2274
SRR18510887.unmapped.longest_only,2162
SRR18509835.unmapped.longest_only,1520
SRR18510766.unmapped.longest_only,1906
SRR18509353.unmapped.longest_only,1538
SRR18509472.unmapped.longest_only,1484
SRR18511338.unmapped.longest_only,785
SRR18509344.unmapped.longest_only,1291
SRR18511473.unmapped.longest_only,14722
SRR18509722.unmapped.longest_only,2013
SRR18509555.unmapped.longest_only,1161
SRR18509491.unmapped.longest_only,1095
SRR18509777.unmapped.longest_only,1344
SRR18510371.unmapped.longest_only,1016
SRR18509384.unmapped.longest_only,989
SRR18509443.unmapped.longest_only,1502
